Skyddet för den personliga integriteten;Kartläggning//NN|UTR|SIN|IND|NOM//ROOT//0 och//KN//cc//2 analys//NN|UTR|SIN|IND|NOM//conj//0
25.1 Regler om sekretess;I//PP//case//99 9//RG|NOM//nummod//97 kap.//NN|AN//nmod//98 1//RG|NOM//nummod//99 §//NN|AN//nmod//102 första//RO|NOM//amod//101 stycket//NN|NEU|SIN|DEF|NOM//nmod//99 SekrL//PM|NOM//nsubj//5 sägs//VB|PRS|SFO//ROOT//103 uttryckligen//AB//advmod//103 att//SN//mark//124 uppgifter//NN|UTR|PLU|IND|NOM//nsubj//124 ,//MID//punct//106 som//HP|-|-|-//nsubj//110 inte//AB//advmod//110 har//VB|PRS|AKT//acl:relcl//106 betydelse//NN|UTR|SIN|IND|NOM//obj//110 i//PP//case//113 målet//NN|NEU|SIN|DEF|NOM//obl//110 och//KN//cc//117 som//HP|-|-|-//nsubj:pass//117 har//VB|PRS|AKT//aux//117 erhållits//VB|SUP|SFO//conj//110 från//PP//case//120 annan//JJ|POS|UTR|SIN|IND|NOM//amod//120 myndighet//NN|UTR|SIN|IND|NOM//obl//117 ,//MID//punct//117 hos//PP//case//123 domstolen//NN|UTR|SIN|DEF|NOM//obl//124 behåller//VB|PRS|AKT//csubj//103 den//DT|UTR|SIN|DEF//det//126 sekretess//NN|UTR|SIN|IND|NOM//obj//124 som//HP|-|-|-//nsubj//128 gäller//VB|PRS|AKT//acl:relcl//126 hos//PP//case//132 den//DT|UTR|SIN|DEF//det//132 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//132 myndigheten//NN|UTR|SIN|DEF|NOM//obl//128 .//MID//punct//103
25.1 Regler om sekretess;Om//SN//mark//138 en//DT|UTR|SIN|IND//det//136 uppgift//NN|UTR|SIN|IND|NOM//nsubj:pass//138 har//VB|PRS|AKT//aux//138 erhållits//VB|SUP|SFO//advcl//148 från//PP//case//141 t.ex.//AB|AN//advmod//141 Skatteverket//PM|NOM//obl//138 ,//MID//punct//141 där//HA//advmod//146 absolut//JJ|POS|UTR|SIN|IND|NOM//advmod//145 sekretess//NN|UTR|SIN|IND|NOM//nsubj//146 gäller//VB|PRS|AKT//acl:relcl//141 ,//MID//punct//148 behåller//VB|PRS|AKT//parataxis//103 uppgiften//NN|UTR|SIN|DEF|NOM//nsubj//148 alltså//AB//advmod//148 denna//DT|UTR|SIN|DEF//det//152 sekretess//NN|UTR|SIN|IND|NOM//obj//148 även//AB//advmod//155 hos//PP//case//155 domstolen//NN|UTR|SIN|DEF|NOM//obl//148 ,//MID//punct//148 om//SN//mark//159 uppgiften//NN|UTR|SIN|DEF|NOM//nsubj//159 saknar//VB|PRS|AKT//advcl//148 betydelse//NN|UTR|SIN|IND|NOM//obj//159 i//PP//case//162 målet//NN|NEU|SIN|DEF|NOM//obl//159 .//MAD//punct//103
25.1 Regler om sekretess;Även//AB//mark//5 om//SN//fixed//0 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//5 som//KN//nsubj//4 huvudregel//NN|UTR|SIN|IND|NOM//acl:relcl//2 råder//VB|PRS|AKT//advcl//14 absolut//JJ|POS|UTR|SIN|IND|NOM//advmod//5 sekretess//NN|UTR|SIN|IND|NOM//nsubj//5 i//PP//case//10 Skatteverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//10 beskattningsverksamhet//NN|UTR|SIN|IND|NOM//nmod//7 har//VB|PRS|AKT//aux//14 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//14 inte//AB//advmod//14 ansetts//VB|SUP|SFO//advcl//40 hindra//VB|INF|AKT//xcomp//14 att//SN//mark//18 uppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//18 lämnas//VB|PRS|SFO//ccomp//15 till//PP//case//21 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 myndigheter//NN|UTR|PLU|IND|NOM//obl//18 med//PP//case//23 stöd//NN|NEU|SIN|IND|NOM//nmod//21 av//PP//case//27 den//DT|UTR|SIN|DEF//det//27 s.k.//AB|AN//amod//27 generalklausulen//NN|UTR|SIN|DEF|NOM//nmod//23 i//PP//case//30 14//RG|NOM//nummod//30 kap.//NN|AN//nmod//27 3//RG|NOM//nummod//32 §//NN|AN//nmod//33 SekrL.//NN|AN//obl//18 Enligt//PP//case//36 denna//DT|UTR|SIN|DEF//det//36 bestämmelse//NN|UTR|SIN|IND|NOM//obl//18 får//VB|PRS|AKT//aux//40 sekretessbelagd//PC|PRF|UTR|SIN|IND|NOM//amod//39 uppgift//NN|UTR|SIN|IND|NOM//nsubj:pass//40 lämnas//VB|PRS|SFO//ROOT//40 till//PP//case//42 myndighet//NN|UTR|SIN|IND|NOM//obl//40 –//RG|NOM//punct//40 dvs.//AB|AN//advmod//51 trots//PP//mark//51 att//SN//mark//51 någon//DT|UTR|SIN|IND//det//48 uppgiftsskyldighet//NN|UTR|SIN|IND|NOM//nsubj//51 inte//AB//advmod//51 är//VB|PRS|AKT//cop//51 föreskriven//PC|PRF|UTR|SIN|IND|NOM//advcl//40 i//PP//case//53 lag//NN|UTR|SIN|IND|NOM//obl//51 eller//KN//cc//55 förordning//NN|UTR|SIN|IND|NOM//conj//53 –//RG|NOM//punct//60 om//SN//mark//60 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//60 är//VB|PRS|AKT//cop//60 uppenbart//JJ|POS|NEU|SIN|IND|NOM//conj//40 att//SN//mark//67 intresset//NN|NEU|SIN|DEF|NOM//nsubj//67 av//PP//mark//66 att//SN//mark//66 uppgiften//NN|UTR|SIN|DEF|NOM//nsubj:pass//66 lämnas//VB|PRS|SFO//acl//62 har//VB|PRS|AKT//csubj//60 företräde//NN|NEU|SIN|IND|NOM//obj//67 framför//PP//case//71 det//DT|NEU|SIN|DEF//det//71 intresse//NN|NEU|SIN|IND|NOM//obl//67 som//HP|-|-|-//obj//75 sekretessen//NN|UTR|SIN|DEF|NOM//nsubj//75 skall//VB|PRS|AKT//aux//75 skydda//VB|INF|AKT//acl:relcl//71 .//MAD//punct//60
25.1 Regler om sekretess;Frågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//87 om//PP//case//79 utlämnande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//77 av//PP//case//82 sekretessbelagda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//82 skatteuppgifter//NN|UTR|PLU|IND|NOM//nmod//79 i//PP//case//86 allmänhet//NN|UTR|SIN|IND|NOM//fixed//83 mellan//PP//case//86 myndigheter//NN|UTR|PLU|IND|NOM//nmod//77 togs//VB|PRT|SFO//parataxis//60 upp//PL//compound:prt//87 av//PP//case//91 föredragande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//91 statsrådet//NN|NEU|SIN|DEF|NOM//obl:agent//87 i//PP//case//94 propsition//NN|UTR|SIN|IND|NOM//fixed//92 1979/80:146//RG|NOM//obl//87 med//PP//case//96 förslag//NN|NEU|SIN|IND|NOM//nmod//94 till//PP//case//98 skatteregisterlag//NN|NEU|PLU|IND|NOM//nmod//96 (//PAD//punct//98 som//HP|-|-|-//nsubj:pass//102 därmed//AB//advmod//102 förelades//VB|PRT|SFO//acl:relcl//98 riksdagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//102 efter//PP//case//105 propositionen//NN|UTR|SIN|DEF|NOM//obl//102 om//PP//case//109 en//DT|UTR|SIN|IND//det//109 ny//JJ|POS|UTR|SIN|IND|NOM//amod//109 sekretesslag//NN|UTR|SIN|IND|NOM//nmod//105 )//PAD//punct//87 .//MAD//punct//117
25.1 Regler om sekretess;Enligt//PP//case//114 föredragandens//NN|NEU|PLU|IND|GEN//nmod:poss//114 mening//NN|UTR|SIN|IND|NOM//obl//117 var//VB|PRT|AKT//cop//117 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//117 naturligt//JJ|POS|NEU|SIN|IND|NOM//advmod//87 att//IE//mark//119 ha//VB|INF|AKT//acl//117 skilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//121 betraktelsesätt//NN|NEU|PLU|IND|NOM//obj//119 beroende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//mark//126 på//PP//fixed//122 om//SN//mark//126 uppgiftsutbytet//NN|NEU|SIN|DEF|NOM//nsubj:pass//126 avses//VB|PRS|SFO//advcl//119 ske//VB|INF|AKT//xcomp//126 inom//PP//case//129 skatteområdet//NN|NEU|SIN|DEF|NOM//obl//127 eller//KN//cc//132 mellan//PP//case//132 skatteområdet//NN|NEU|SIN|DEF|NOM//conj//129 och//KN//cc//136 något//DT|NEU|SIN|IND//det//136 annat//JJ|POS|NEU|SIN|IND|NOM//amod//136 verksamhetsområde//NN|NEU|SIN|IND|NOM//conj//132 (//PAD//punct//136 s.//NN|AN//nmod//140 26//RG|NOM//nummod//140 f.//NN|AN//appos//136 )//PAD//punct//136 .//MAD//punct//87
25.1 Regler om sekretess;I//PP//mark//159 fråga//NN|UTR|SIN|IND|NOM//fixed//143 om//PP//case//146 utbyte//NN|NEU|SIN|IND|NOM//obl//143 av//PP//case//148 uppgifter//NN|UTR|PLU|IND|NOM//nmod//146 mellan//PP//case//150 myndigheter//NN|UTR|PLU|IND|NOM//nmod//148 och//KN//cc//152 verksamhetsgrenar//NN|UTR|PLU|IND|NOM//conj//150 inom//PP//case//154 skatteområdet//NN|NEU|SIN|DEF|NOM//nmod//152 borde//VB|PRT|AKT//aux//157 utgångspunkten//NN|UTR|SIN|DEF|NOM//nsubj//157 vara//VB|INF|AKT//cop//159 att//IE//mark//159 utlämnande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj//161 skall//VB|PRS|AKT//aux//161 ske//VB|INF|AKT//conj//87 om//SN//case//163 uppgifter//NN|UTR|PLU|IND|NOM//obl//161 behövs//VB|PRS|SFO//advcl//161 för//PP//case//166 verksamheten//NN|UTR|SIN|DEF|NOM//obl//164 .//MAD//punct//40
25.1 Regler om sekretess;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//171 borde//VB|PRT|AKT//aux//171 alltså//AB//advmod//171 gälla//VB|INF|AKT//parataxis//40 även//AB//advmod//176 i//PP//case//176 fråga//NN|UTR|SIN|IND|NOM//fixed//173 om//PP//fixed//173 uppgiftsutbyte//NN|NEU|SIN|IND|NOM//obl//171 mellan//PP//case//180 de//DT|UTR/NEU|PLU|DEF//det//180 vanliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//180 skattemyndigheterna//NN|UTR|PLU|DEF|NOM//nmod//176 och//KN//cc//183 t.ex.//AB|AN//advmod//183 tullmyndigheterna//NN|UTR|PLU|DEF|NOM//conj//180 som//HP|-|-|-//nsubj//185 administrerar//VB|PRS|AKT//acl:relcl//183 bl.a.//AB|AN//advmod//185 mervärdeskatt//NN|UTR|SIN|IND|NOM//obj//185 vid//PP//case//189 införsel//NN|UTR|SIN|IND|NOM//nmod//187 .//MAD//punct//171
25.1 Regler om sekretess;Föredraganden//NN|UTR|SIN|DEF|NOM//nsubj//192 påpekade//VB|PRT|AKT//parataxis//171 att//SN//mark//200 indrivningen//NN|UTR|SIN|DEF|NOM//nsubj//200 av//PP//case//196 skatter//NN|UTR|PLU|IND|NOM//nmod//194 och//KN//cc//198 avgifter//NN|UTR|PLU|IND|NOM//conj//196 också//AB//advmod//200 hörde//VB|PRT|AKT//ccomp//192 nära//AB|POS//advmod//202 ihop//AB//advmod//200 med//PP//case//206 den//DT|UTR|SIN|DEF//det//206 direkta//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//206 beskattningverksamheten//NN|UTR|SIN|DEF|NOM//obl//200 .//MAD//punct//171
25.1 Regler om sekretess;Kronofogdemyndigheterna//NN|UTR|PLU|DEF|NOM//nsubj//209 fick//VB|PRT|AKT//parataxis//171 redan//AB//advmod//209 tillgång//NN|UTR|SIN|IND|NOM//obj//209 till//PP//case//215 en//DT|UTR|SIN|IND//det//214 mängd//NN|UTR|SIN|IND|NOM//nmod//215 uppgifter//NN|UTR|PLU|IND|NOM//nmod//211 från//PP//case//217 skattemyndigheterna//NN|UTR|PLU|DEF|NOM//nmod//215 som//HP|-|-|-//nsubj:pass//219 behövdes//VB|PRT|SFO//acl:relcl//215 för//PP//case//221 indrivningsverksamheten//NN|UTR|SIN|DEF|NOM//obl//219 .//MAD//punct//171
25.1 Regler om sekretess;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//225 var//VB|PRT|AKT//cop//225 naturligt//JJ|POS|NEU|SIN|IND|NOM//conj//171 att//SN//mark//231 kronofogdemyndigheterna//NN|UTR|PLU|DEF|NOM//nsubj//231 i//PP//case//229 framtiden//NN|UTR|SIN|DEF|NOM//nmod//227 kunde//VB|PRT|AKT//aux//231 få//VB|INF|AKT//csubj//225 tillgång//NN|UTR|SIN|IND|NOM//obj//231 även//AB//advmod//235 till//PP//case//235 uppgifterna//NN|UTR|PLU|DEF|NOM//obl//231 i//PP//case//239 de//DT|UTR/NEU|PLU|DEF//det//239 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//239 skatteregistren//NN|NEU|PLU|DEF|NOM//nmod//235 i//PP//case//242 den//DT|UTR|SIN|DEF//det//242 mån//NN|UTR|SIN|IND|NOM//nmod//239 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//244 behövdes//VB|PRT|SFO//advcl//231 för//PP//case//246 indrivningsverksamheten//NN|UTR|SIN|DEF|NOM//obl//244 .//MID//punct//225
25.1 Regler om sekretess;Vad//HP|NEU|SIN|IND//nsubj//250 sedan//AB//advmod//250 gällde//VB|PRT|AKT//appos//225 utbyte//NN|NEU|SIN|IND|NOM//obj//250 av//PP//case//253 uppgifter//NN|UTR|PLU|IND|NOM//nmod//251 i//PP//advmod//250 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//254 mellan//PP//case//257 skatteområdet//NN|NEU|SIN|DEF|NOM//obl//250 och//KN//cc//260 annat//JJ|POS|NEU|SIN|IND|NOM//amod//260 verksamhetsområde//NN|NEU|SIN|IND|NOM//conj//257 borde//VB|PRT|AKT//aux//267 utgångspunkten//NN|UTR|SIN|DEF|NOM//nsubj//267 enligt//PP//case//264 föredraganden//NN|UTR|SIN|DEF|NOM//obl//267 vara//VB|INF|AKT//cop//267 en//DT|UTR|SIN|IND//det//267 annan//JJ|POS|UTR|SIN|IND|NOM//conj//250 .//MAD//punct//250
25.1 Regler om sekretess;Beträffande//PP//case//271 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//271 uppgiftsutbyte//NN|NEU|SIN|IND|NOM//obl//274 borde//VB|PRT|AKT//aux//274 man//PN|UTR|SIN|IND|SUB//nsubj//274 inta//VB|INF|AKT//advcl//250 en//DT|UTR|SIN|IND//det//277 restriktiv//JJ|POS|UTR|SIN|IND|NOM//amod//277 hållning//NN|UTR|SIN|IND|NOM//obj//274 .//MAD//punct//274
25.1 Regler om sekretess;Vid//PP//case//281 den//DT|UTR|SIN|DEF//det//281 intresseavvägning//NN|UTR|SIN|IND|NOM//obl//288 som//HP|-|-|-//nsubj//284 måste//VB|PRS|AKT//aux//284 ske//VB|INF|AKT//acl:relcl//281 borde//VB|PRT|AKT//aux//288 man//PN|UTR|SIN|IND|SUB//nsubj//288 inte//AB//advmod//288 tillåta//VB|INF|AKT//advcl//274 uppgiftsutbyte//NN|NEU|SIN|IND|NOM//obj//288 i//PP//case//292 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//292 fall//NN|NEU|PLU|IND|NOM//obl//288 än//KN//mark//299 då//HA//advmod//299 intresset//NN|NEU|SIN|DEF|NOM//nsubj:pass//299 av//PP//case//298 utlämnande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//298 klart//AB|POS//nmod//295 bedömdes//VB|PRT|SFO//acl//292 väga//VB|INF|AKT//xcomp//299 över//PL//case//302 risken//NN|UTR|SIN|DEF|NOM//obl//300 för//PP//case//305 otillbörligt//JJ|POS|NEU|SIN|IND|NOM//amod//305 integritetsintrång//NN|NEU|SIN|IND|NOM//nmod//302 .//MAD//punct//171
25.1 Regler om sekretess;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//2 har//VB|PRS|AKT//aux//2 påtalats//VB|SUP|SFO//ROOT//2 att//SN//mark//17 man//PN|UTR|SIN|IND|SUB//nsubj//17 bl.a.//AB|AN//advmod//17 i//PP//case//10 de//DT|UTR/NEU|PLU|DEF//det//10 nu//AB//advmod//9 redovisade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//10 propositionsuttalandena//NN|NEU|PLU|DEF|NOM//obl//17 kanske//AB//advmod//17 i//PP//case//15 alltför//AB//advmod//14 hög//JJ|POS|UTR|SIN|IND|NOM//amod//15 grad//NN|UTR|SIN|IND|NOM//obl//17 har//VB|PRS|AKT//aux//17 intagit//VB|SUP|AKT//ccomp//2 en//DT|UTR|SIN|IND//det//20 positiv//JJ|POS|UTR|SIN|IND|NOM//amod//20 inställning//NN|UTR|SIN|IND|NOM//obj//17 till//PP//case//22 uppgiftsutbyte//NN|NEU|SIN|IND|NOM//nmod//20 inom//PP//case//24 skatteområdet//NN|NEU|SIN|DEF|NOM//obl//17 och//KN//cc//28 en//DT|UTR|SIN|IND//det//28 negativ//JJ|POS|UTR|SIN|IND|NOM//amod//28 inställning//NN|UTR|SIN|IND|NOM//conj//17 till//PP//case//30 informationslämnande//NN|NEU|SIN|IND|NOM//nmod//28 från//PP//case//32 Skatteverket//PM|NOM//nmod//28 till//PP//case//35 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 myndigheter//NN|UTR|PLU|IND|NOM//nmod//28 (//PAD//punct//28 Regner//PM|NOM//appos//28 m.fl.//AB|AN//conj//37 ,//MID//punct//41 s.//NN|AN//nmod//41 14:25//RG|NOM//nmod//38 )//PAD//punct//28 .//MAD//punct//62
25.1 Regler om sekretess;Även//AB//advmod//46 inför//PP//case//46 bildandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//62 av//PP//case//51 den//DT|UTR|SIN|DEF//det//50 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//50 myndigheten//NN|UTR|SIN|DEF|NOM//nmod//51 Skatteverket//PM|NOM//nmod//46 ,//MID//punct//59 i//PP//case//59 samband//NN|NEU|SIN|IND|NOM//fixed//53 varmed//HA//fixed//53 de//DT|UTR/NEU|PLU|DEF//det//59 tio//RG|NOM//nummod//59 regionala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//59 skattemyndigheterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//62 och//KN//cc//61 Riksskatteverket//NN|NEU|SIN|DEF|NOM//conj//59 avvecklades//VB|PRT|SFO//conj//2 ,//MID//punct//64 åberopades//VB|PRT|SFO//conj//2 dock//AB//advmod//64 dessa//DT|UTR/NEU|PLU|DEF//det//67 propositionsuttalanden//NN|NEU|PLU|IND|NOM//nsubj:pass//64 ånyo//AB//advmod//64 för//PP//mark//71 att//IE//mark//71 beskriva//VB|INF|AKT//advcl//64 sekretessens//NN|UTR|SIN|DEF|GEN//nmod:poss//73 inverkan//NN|UTR|SIN|IND|NOM//obj//71 på//PP//case//75 uppgiftsutbyte//NN|NEU|SIN|IND|NOM//nmod//73 inom//PP//case//77 skatteförvaltningen//NN|UTR|SIN|DEF|NOM//obl//71 (//PAD//punct//64 prop//NN|UTR|SIN|IND|NOM//appos//64 .//MAD//punct//64
25.1 Regler om sekretess;2002/03:99//RG|NOM//nummod//82 s.//NN|AN//nmod//83 214//RG|NOM//nummod//84 f.//NN|AN//obl//64 )//PAD//punct//64 .//MAD//punct//2
25.1 Regler om sekretess;Att//SN//mark//90 den//DT|UTR|SIN|DEF//nsubj//90 numera//AB//advmod//90 upphävda//PC|PRF|UTR/NEU|SIN|DEF|NOM//nsubj:pass//93 skatteregisterlagen//NN|UTR|SIN|DEF|NOM//obj//90 hade//VB|PRT|AKT//aux//93 ersatts//VB|SUP|SFO//parataxis//2 av//PP//case//95 lagen//NN|UTR|SIN|DEF|NOM//obl:agent//93 (//PAD//punct//97 2001:181//RG|NOM//appos//95 )//PAD//punct//97 om//PP//case//100 behandling//NN|UTR|SIN|IND|NOM//obl//93 av//PP//case//102 uppgifter//NN|UTR|PLU|IND|NOM//nmod//100 i//PP//case//105 skatteförvaltningens//NN|UTR|SIN|DEF|GEN//nmod:poss//105 beskattningsverksamhet//NN|UTR|SIN|IND|NOM//nmod//102 förändrade//VB|PRT|AKT//acl//100 enligt//PP//case//108 regeringen//NN|UTR|SIN|DEF|NOM//obl//106 inte//AB//advmod//106 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//106 som//HP|-|-|-//nsubj:pass//113 tidigare//AB|KOM//advmod//113 sagts//VB|SUP|SFO//acl:relcl//110 i//PP//case//116 denna//DT|UTR|SIN|DEF//det//116 fråga//NN|UTR|SIN|IND|NOM//obl//113 .//MAD//punct//2
25.1 Regler om sekretess;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//119 konstaterade//VB|PRT|AKT//parataxis//2 att//SN//mark//124 av//PP//case//122 vad//HP|NEU|SIN|IND//dislocated//124 som//HP|-|-|-//nsubj:pass//124 anförts//VB|SUP|SFO//ccomp//119 beträffande//PP//case//126 generalklausulen//NN|UTR|SIN|DEF|NOM//obl//124 i//PP//case//129 14//RG|NOM//nummod//129 kap.//NN|AN//nmod//126 3//RG|NOM//nummod//131 §//NN|AN//nmod//126 framgick//VB|PRT|AKT//conj//119 att//SN//mark//138 uppgifter//NN|UTR|PLU|IND|NOM//nsubj//138 som//HP|-|-|-//case//137 en//DT|UTR|SIN|IND//det//137 skattemyndighet//NN|UTR|SIN|IND|NOM//nmod//134 har//VB|PRS|AKT//ccomp//132 och//KN//cc//144 som//KN//case//143 en//DT|UTR|SIN|IND//det//143 annan//JJ|POS|UTR|SIN|IND|NOM//amod//143 skttemyndighet//NN|UTR|SIN|IND|NOM//nsubj//144 behöver//VB|PRS|AKT//conj//138 i//PP//case//147 sin//PS|UTR|SIN|DEF//nmod:poss//147 beskattningsverksamhet//NN|UTR|SIN|IND|NOM//obl//144 redan//AB//advmod//151 enligt//PP//case//151 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//151 rätt//NN|UTR|SIN|IND|NOM//obl//144 i//PP//case//153 princip//NN|UTR|SIN|IND|NOM//nmod//151 utan//PP//case//155 hinder//NN|NEU|SIN|IND|NOM//nmod//151 av//PP//case//157 sekretess//NN|UTR|SIN|IND|NOM//nmod//155 kunde//VB|PRT|AKT//aux//159 lämnas//VB|INF|SFO//conj//119 till//PP//case//163 den//DT|UTR|SIN|DEF//det//163 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//163 myndigheten//NN|UTR|SIN|DEF|NOM//obl//159 med//PP//case//165 stöd//NN|NEU|SIN|IND|NOM//nmod//163 av//PP//case//167 generalklausulen//NN|UTR|SIN|DEF|NOM//nmod//165 .//MAD//punct//119
25.1 Regler om sekretess;Sammanfattningsvis//AB//advmod//170 ansåg//VB|PRT|AKT//conj//119 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//170 att//SN//mark//180 den//DT|UTR|SIN|DEF//det//174 enskilde//JJ|POS|MAS|SIN|DEF|NOM//nsubj//180 i//PP//case//176 princip//NN|UTR|SIN|IND|NOM//nmod//174 skulle//VB|PRT|AKT//aux//180 komma//VB|INF|AKT//aux//180 att//IE//mark//180 ha//VB|INF|AKT//ccomp//170 samma//DT|UTR/NEU|SIN/PLU|IND//det//182 sekretesskydd//NN|NEU|SIN|IND|NOM//obj//180 inom//PP//case//186 den//DT|UTR|SIN|DEF//det//186 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//186 organisationen//NN|UTR|SIN|DEF|NOM//obl//180 som//HP|-|-|-//mark//190 inom//PP//case//190 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//190 skatteförvaltning//NN|UTR|SIN|IND|NOM//obl//180 .//MAD//punct//170
25.1 Regler om sekretess;Bildandet//NN|NEU|SIN|DEF|NOM//nsubj//195 av//PP//case//194 Skatteverket//PM|NOM//nmod//192 föranledde//VB|PRT|AKT//parataxis//170 därför//AB//advmod//195 inga//DT|UTR/NEU|PLU|IND//det//199 materiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//199 ändringar//NN|UTR|PLU|IND|NOM//obj//195 i//PP//case//201 sekretesslagen//NN|UTR|SIN|DEF|NOM//nmod//199 .//MAD//punct//119
