Så enkelt som möjligt för så många som möjligt (1);–//RG|NOM//punct//3  //_SP////0 En//DT|UTR|SIN|IND//det//3 bit//NN|UTR|SIN|IND|NOM//ROOT//3 på//PP//case//5 väg//NN|UTR|SIN|IND|NOM//nmod//3
1.1 Delegationens uppdrag;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//1 delredovisade//VB|PRT|AKT//nsubj//12 sitt//PS|NEU|SIN|DEF//nmod:poss//3 uppdrag//NN|NEU|SIN|IND|NOM//obj//1 för//PP//case//6 första//RO|NOM//amod//6 gången//NN|UTR|SIN|DEF|NOM//nmod//3 i//PP//case//9 oktober//NN|UTR|SIN|IND|NOM//nmod//9 2009//RG|NOM//nmod//3 i//PP//case//11 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//3 Strategi//NN|UTR|SIN|IND|NOM//nsubj//120 för//PP//case//15 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//15 arbete//NN|NEU|SIN|IND|NOM//obl//12 med//PP//case//18  //_SP////16 e-förvaltning//NN|UTR|SIN|IND|NOM//obl//12   //_SP////18 (//PAD//punct//18 SOU//PM|NOM//appos//18 2009:86//RG|NOM//nummod//21 )//PAD//punct//18 .//MAD//punct//12
1.1 Delegationens uppdrag;En//DT|UTR|SIN|IND//det//26 remissammanställning//NN|UTR|SIN|IND|NOM//nsubj//30 (//PAD//punct//26 Fi2009/6838//NN|NEU|SIN|IND|NOM//appos//26 )//PAD//punct//28 finns//VB|PRS|SFO//parataxis//12 publicerad//PC|PRF|UTR|SIN|IND|NOM//xcomp//30 på//PP//case//34 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//34 webbplats//NN|UTR|SIN|IND|NOM//obl//31 .//MAD//punct//30
1.1 Delegationens uppdrag;I//PP//case//37 mars//NN|UTR|SIN|IND|NOM//obl//39 2010//RG|NOM//nummod//37 redovisades//VB|PRT|SFO//conj//30 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//42 andra//RO|NOM//amod//42 betänkande//NN|NEU|SIN|IND|NOM//nsubj:pass//39 Så//AB//advmod//46 enkelt//AB|POS//fixed//43 som//KN//mark//46 möjligt//JJ|POS|NEU|SIN|IND|NOM//advmod//39 för//PP//case//49 så//AB//advmod//49 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj:pass//39 som//KN//mark//51 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//49 –//RG|NOM//punct//39 från//PP//case//54 strategi//NN|UTR|SIN|IND|NOM//obl//39 till//PP//case//56 handling//NN|UTR|SIN|IND|NOM//nmod//54 för//PP//case//59  //_SP////57 e-förvaltning//NN|UTR|SIN|IND|NOM//nmod//54   //_SP////59 (//PAD//punct//59 SOU//PM|NOM//appos//59 2010:20//RG|NOM//nmod//54 )//PAD//punct//39 .//MAD//punct//12
1.1 Delegationens uppdrag;Den//DT|UTR|SIN|DEF//det//68 25//RG|NOM//nummod//68 mars//NN|UTR|SIN|IND|NOM//obl//70 2010//RG|NOM//nummod//68 fick//VB|PRT|AKT//parataxis//12 delegationen//NN|UTR|SIN|DEF|NOM//nsubj//70 ett//DT|NEU|SIN|IND//det//73 tilläggsdirektiv//NN|NEU|SIN|IND|NOM//obj//70 (//PAD//punct//73 dir//NN|AN//appos//73 .//MAD//punct//73
1.1 Delegationens uppdrag;2010:32//RG|NOM//obl//12 )//PAD//punct//12 ,//MID//punct//12 bilaga//NN|UTR|SIN|IND|NOM//conj//12 2//RG|NOM//nummod//80 ,//MID//punct//12  //_SP////82 som//HP|-|-|-//nsubj//85 omfattar//VB|PRS|AKT//acl:relcl//12 främjande//NN|NEU|SIN|IND|NOM//xcomp//85 och//KN//cc//88 samordning//NN|UTR|SIN|IND|NOM//conj//86 av//PP//case//91 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//91 arbete//NN|NEU|SIN|IND|NOM//nmod//88 med//PP//mark//94 att//IE//mark//94 förbättra//VB|INF|AKT//advcl//85 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//94 för//PP//case//97 vidareutnyttjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//94 av//PP//case//100 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//100 information//NN|UTR|SIN|IND|NOM//nmod//97 (//PAD//punct//102 PSI-direktivet//NN|NEU|SIN|DEF|NOM//appos//100 )//PAD//punct//102 ,//MID//punct//12 samt//KN//cc//107 att//IE//mark//107 ta//VB|INF|AKT//conj//12 fram//PL//compound:prt//107 riktlinjer//NN|UTR|PLU|IND|NOM//obj//107 för//PP//case//112 myndigheters//NN|UTR|PLU|IND|GEN//nmod:poss//112 användning//NN|UTR|SIN|IND|NOM//obl//107 av//PP//case//115 sociala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//115 medier//NN|NEU|PLU|IND|NOM//nmod//112 .//MAD//punct//12
1.1 Delegationens uppdrag;I//PP//case//119 oktober//NN|UTR|SIN|IND|NOM//nmod//119 2010//RG|NOM//nmod//12 lämnade//VB|PRT|AKT//ROOT//120 delegationen//NN|UTR|SIN|DEF|NOM//nsubj//120 sin//PS|UTR|SIN|DEF//nmod:poss//124 tredje//RO|NOM//amod//124 delredovisning//NN|UTR|SIN|IND|NOM//obj//120 ,//MID//punct//120 Så//AB//advmod//129 enkelt//AB|POS//fixed//126 som//KN//mark//129 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//120 för//PP//case//132 så//AB//advmod//132 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//120 som//KN//mark//134 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//132 .//MAD//punct//120
1.1 Delegationens uppdrag;Under//PP//case//137 konstruktion//NN|UTR|SIN|IND|NOM//obl//120 –//RG|NOM//punct//137 framtidens//NN|UTR|SIN|DEF|GEN//nmod:poss//141  //_SP////139 e-förvaltning//NN|UTR|SIN|IND|NOM//conj//137   //_SP////141 (//PAD//punct//141 SOU//PM|NOM//appos//141 2010:62//RG|NOM//conj//137 )//PAD//punct//137 .//MAD//punct//120
1.1 Delegationens uppdrag;Detta//DT|NEU|SIN|DEF//det//1 betänkande//NN|NEU|SIN|IND|NOM//nsubj//10 ,//MID//punct//5  //_SP////2 Så//AB//advmod//5 enkelt//AB|POS//conj//1 som//KN//mark//7 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//5 för//PP//case//10 så//AB//advmod//10 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//ROOT//10 som//KN//mark//12 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//10 –//RG|NOM//punct//15 En//DT|UTR|SIN|IND//det//15 bit//NN|UTR|SIN|IND|NOM//appos//10 på//PP//case//17 väg//NN|UTR|SIN|IND|NOM//nmod//15  //_SP////17 (//PAD//punct//15 SOU//PM|NOM//nmod//15 2011:27//RG|NOM//nummod//20 )//PAD//punct//15 ,//MID//punct//24 innehåller//VB|PRS|AKT//conj//10 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//27 fjärde//RO|NOM//amod//27 delredovisning//NN|UTR|SIN|IND|NOM//obj//24 av//PP//case//29 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//27 .//MAD//punct//10


1.2.1 Digital agenda för Sverige;De//DT|UTR/NEU|PLU|DEF//det//1 myndigheter//NN|UTR|PLU|IND|NOM//ROOT//1 som//HP|-|-|-//nsubj//3 fått//VB|SUP|AKT//acl:relcl//1 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//5 uppdrag//NN|NEU|PLU|IND|NOM//obj//3 är//VB|PRS|AKT//cop//1
1.2.1 Digital agenda för Sverige;•//PM|NOM//case//1 Skatteverket//PM|NOM//ROOT//1 ,//MID//punct//1 som//HP|-|-|-//nsubj//4 ansvarar//VB|PRS|AKT//acl:relcl//1 för//PP//mark//7 att//IE//mark//7 utveckla//VB|INF|AKT//advcl//4 området//NN|NEU|SIN|DEF|NOM//obj//7  //_SP////8 privatpersoner//NN|UTR|PLU|IND|NOM//obj//4 ,//MID//punct//1
1.2.1 Digital agenda för Sverige;•//PM|NOM//nmod//1 Bolagsverket//NN|NEU|SIN|DEF|NOM//ROOT//1 ,//MID//punct//1 som//HP|-|-|-//nsubj//4 ansvarar//VB|PRS|AKT//acl:relcl//1 för//PP//case//7  //_SP////5 företag//NN|NEU|PLU|IND|NOM//obl//4 och//KN//cc//9 företagare//NN|UTR|PLU|IND|NOM//conj//7 ,//MID//punct//1
1.2.1 Digital agenda för Sverige;•//NN|UTR|SIN|IND|NOM//case//1 Transportstyrelsen//NN|UTR|SIN|DEF|NOM//ROOT//1 ,//MID//punct//1 som//HP|-|-|-//nsubj//4 ansvarar//VB|PRS|AKT//acl:relcl//1 för//PP//case//7  //_SP////5 fordon//NN|NEU|PLU|IND|NOM//obl//4 och//KN//cc//9 förare//NN|UTR|PLU|IND|NOM//conj//7 ,//MID//punct//1 och//KN//punct//1
1.2.1 Digital agenda för Sverige;•//NN|UTR|SIN|IND|NOM//nmod//1 Lantmäteriet//PM|NOM//ROOT//1 som//HP|-|-|-//nsubj//3 ansvarar//VB|PRS|AKT//acl:relcl//1 för//PP//case//5 området//NN|NEU|SIN|DEF|NOM//obl//3  //_SP////5 geografisk//JJ|POS|UTR|SIN|IND|NOM//amod//8 information//NN|UTR|SIN|IND|NOM//conj//5 och//KN//cc//10 fastighetsinformation//NN|UTR|SIN|IND|NOM//conj//8 .//MAD//punct//1
1.2.1 Digital agenda för Sverige;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//1 kommer//VB|PRS|AKT//aux//6 i//PP//case//5 sitt//PS|NEU|SIN|DEF//nmod:poss//5 fortsatta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//5 arbete//NN|NEU|SIN|IND|NOM//obl//6 utveckla//VB|INF|AKT//ROOT//6 samverkan//NN|UTR|SIN|IND|NOM//obj//6 med//PP//case//10 utvecklingsansvariga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 myndigheter//NN|UTR|PLU|IND|NOM//nmod//7 för//PP//mark//18 att//IE//mark//18 på//PP//case//15 bästa//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//15 sätt//NN|NEU|SIN|IND|NOM//obl//18 genom//PP//case//17 koordinering//NN|UTR|SIN|IND|NOM//nmod//15 undvika//VB|INF|AKT//advcl//6 dubbelarbete//NN|NEU|SIN|IND|NOM//obj//18 och//KN//cc//21 överlappningar//NN|UTR|PLU|IND|NOM//conj//19 samt//KN//cc//23 ta//VB|INF|AKT//conj//18 till//PP//compound:prt//23 vara//NN|-|-|-|-//det//26 synergieffekter//NN|UTR|PLU|IND|NOM//obj//23 vid//PP//case//28 utveckling//NN|UTR|SIN|IND|NOM//nmod//26 av//PP//case//30 e-tjänster//NN|UTR|PLU|IND|NOM//nmod//28 .//MAD//punct//6

1.2.3 Grön IT;IT//NN|AN//nsubj//12 för//PP//case//4 en//DT|UTR|SIN|IND//det//4 grönare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 förvaltning//NN|UTR|SIN|IND|NOM//nmod//0 –//RG|NOM//punct//6 agenda//NN|UTR|SIN|IND|NOM//conj//0 för//PP//case//8 IT//NN|AN//nmod//6 för//PP//case//10 miljön//NN|UTR|SIN|DEF|NOM//nmod//8 2010-2015//RG|NOM//nummod//10 riktar//VB|PRS|AKT//ROOT//12 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//12 i//PP//advmod//12 första//RO|NOM//amod//16 hand//NN|UTR|SIN|IND|NOM//fixed//14 till//PP//case//19 de//DT|UTR/NEU|PLU|DEF//det//19 myndigheter//NN|UTR|PLU|IND|NOM//obl//12 som//HP|-|-|-//nsubj//21 lyder//VB|PRS|AKT//acl:relcl//19 under//PP//case//23 förordningen//NN|UTR|SIN|DEF|NOM//obl//21 (//PAD//punct//23 2009:07//RG|NOM//appos//23 )//PAD//punct//23 om//PP//case//28 miljöledning//NN|UTR|SIN|IND|NOM//obl//21 i//PP//case//31 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 myndigheter//NN|UTR|PLU|IND|NOM//nmod//28 .//MAD//punct//12
1.2.3 Grön IT;Det//DT|NEU|SIN|DEF//det//35 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 målet//NN|NEU|SIN|DEF|NOM//parataxis//12 för//PP//case//37 agendan//NN|UTR|SIN|DEF|NOM//nmod//35 är//VB|PRS|AKT//cop//35 att//SN//mark//43 miljöanpassad//PC|PRF|UTR|SIN|IND|NOM//nmod//41 IT//NN|AN//nsubj:pass//43 ska//VB|PRS|AKT//aux//43 användas//VB|INF|SFO//ccomp//38 för//PP//mark//46 att//IE//mark//46 minska//VB|INF|AKT//advcl//43 statlig//JJ|POS|UTR|SIN|IND|NOM//amod//48 miljöbelastning//NN|UTR|SIN|IND|NOM//obj//46 .//MAD//punct//12
1.2.3 Grön IT;Hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 förvaltningen//NN|UTR|SIN|DEF|NOM//nsubj//6 bör//VB|PRS|AKT//aux//6 i//PP//case//5 sitt//PS|NEU|SIN|DEF//nmod:poss//5 arbete//NN|NEU|SIN|IND|NOM//obl//6 beakta//VB|INF|AKT//ROOT//6 målen//NN|NEU|PLU|DEF|NOM//obj//6 för//PP//case//11 de//DT|UTR/NEU|PLU|DEF//det//11 tre//RG|NOM//nummod//11 insatsområdena//NN|NEU|PLU|DEF|NOM//obl//6 som//HP|-|-|-//nsubj//13 är//VB|PRS|AKT//acl:relcl//11 ://MID//punct//6
1.2.3 Grön IT;1//RG|NOM//nummod//6 .//MAD//punct//6
1.2.3 Grön IT;Andelen//NN|UTR|SIN|DEF|NOM//nsubj//25 anskaffningar//NN|UTR|PLU|IND|NOM//nsubj//25 med//PP//case//20 miljökrav//NN|NEU|PLU|IND|NOM//nmod//18 på//PP//case//23  //_SP////21 IT-området//NN|NEU|SIN|DEF|NOM//nmod//20 bör//VB|PRS|AKT//aux//25 öka//VB|INF|AKT//parataxis//6 .//MAD//punct//25
1.2.3 Grön IT;2//RG|NOM//nummod//25 .//MAD//punct//25
1.2.3 Grön IT;Energianvändningen//NN|UTR|SIN|DEF|NOM//nsubj//34 i//PP//case//32  //_SP////30 IT-verksamheten//NN|UTR|SIN|DEF|NOM//nmod//29 bör//VB|PRS|AKT//aux//34 minska//VB|INF|AKT//parataxis//25 .//MAD//punct//34
1.2.3 Grön IT;3//RG|NOM//punct//25 .//MAD//punct//25
1.2.3 Grön IT;Andelen//NN|UTR|SIN|DEF|NOM//det//40 resfria//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 möten//NN|NEU|PLU|IND|NOM//nsubj//42 bör//VB|PRS|AKT//aux//42 öka//VB|INF|AKT//parataxis//25 .//MAD//punct//6
1.2.3 Grön IT;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//6 kommer//VB|PRS|AKT//aux//6 i//PP//advmod//6 sitt//PS|NEU|SIN|DEF//fixed//2 arbeta//VB|INF|AKT//fixed//2 att//IE//mark//6 främja//VB|INF|AKT//ROOT//6 en//DT|UTR|SIN|IND//det//8 utveckling//NN|UTR|SIN|IND|NOM//obj//6 där//HA//advmod//13 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//11 sektor//NN|UTR|SIN|IND|NOM//nsubj//13 ska//VB|PRS|AKT//aux//13 föregå//VB|INF|AKT//acl:relcl//8 med//PP//case//16 gott//JJ|POS|NEU|SIN|IND|NOM//amod//16 exempel//NN|NEU|SIN|IND|NOM//obl//13 .//MAD//punct//6
1.2.3 Grön IT;En//DT|UTR|SIN|IND//det//20 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//20 aktivitet//NN|UTR|SIN|IND|NOM//obj//6 är//VB|PRS|AKT//cop//23 att//IE//mark//23 påverka//VB|INF|AKT//conj//6 myndigheter//NN|UTR|PLU|IND|NOM//obj//23 att//IE//mark//26 begära//VB|INF|AKT//acl//24 in//PL//compound:prt//26 uppgifter//NN|UTR|PLU|IND|NOM//obj//26 elektroniskt//AB|POS//advmod//26 i//PP//advmod//26 stället//NN|NEU|SIN|DEF|NOM//fixed//30 för//PP//fixed//30 på//PP//case//34 papper//NN|NEU|PLU|IND|NOM//obl//26 .//MAD//punct//6
1.2.3 Grön IT;I//PP//case//38 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 fall//NN|NEU|PLU|IND|NOM//obl//39 hindras//VB|INF|SFO//conj//6 en//DT|UTR|SIN|IND//det//42 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//42 utveckling//NN|UTR|SIN|IND|NOM//nsubj:pass//39 av//PP//case//44 registerförfattningar//NN|UTR|PLU|IND|NOM//nmod//42 .//MAD//punct//6
1.2.3 Grön IT;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//47 har//VB|PRS|AKT//aux//52 vid//PP//case//51 ett//DT|NEU|SIN|IND//det//50 flertal//NN|NEU|SIN|IND|NOM//nmod//51 tillfällen//NN|NEU|PLU|IND|NOM//obl//52 föreslagit//VB|SUP|AKT//parataxis//6 regeringen//NN|UTR|SIN|DEF|NOM//obj//52 att//SN//mark//60 en//DT|UTR|SIN|IND//det//56 översyn//NN|UTR|SIN|IND|NOM//nsubj:pass//60 av//PP//case//58 registerförfattningarna//NN|UTR|PLU|DEF|NOM//nmod//56 ska//VB|PRS|AKT//aux//60 göras//VB|INF|SFO//advcl//52 ,//MID//punct//66 varvid//HA//advmod//66 även//AB//advmod//64 miljöfaktorn//NN|UTR|SIN|DEF|NOM//nsubj:pass//66 kan//VB|PRS|AKT//aux//66 vägas//VB|INF|SFO//advcl//60 in//PL//compound:prt//66 .//MAD//punct//6

1.2.4 Nationell eHälsa;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj//4 med//PP//case//3 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//3 eHälsa//NN|UTR|SIN|IND|NOM//nmod//0 har//VB|PRS|AKT//ROOT//4 ett//DT|NEU|SIN|IND//det//6 antal//NN|NEU|SIN|IND|NOM//nmod//7 beröringspunkter//NN|UTR|PLU|IND|NOM//obj//4 med//PP//case//10 det//DT|NEU|SIN|DEF//det//10 arbete//NN|NEU|SIN|IND|NOM//nmod//7 som//HP|-|-|-//obj//13 delegationen//NN|UTR|SIN|DEF|NOM//nsubj//13 bedriver//VB|PRS|AKT//acl:relcl//10 .//MAD//punct//4
1.2.4 Nationell eHälsa;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//18 är//VB|PRS|AKT//cop//18 härvid//AB//advmod//18 viktigt//JJ|POS|NEU|SIN|IND|NOM//parataxis//4 med//PP//case//22 en//DT|UTR|SIN|IND//det//22 tät//JJ|POS|UTR|SIN|IND|NOM//amod//22 dialog//NN|UTR|SIN|IND|NOM//nmod//18 mellan//PP//case//24 delegationen//NN|UTR|SIN|DEF|NOM//nmod//22 och//KN//cc//27 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 företrädare//NN|UTR|PLU|IND|NOM//conj//24 för//PP//case//29 e-hälsoarbetet//NN|NEU|SIN|DEF|NOM//nmod//27 .//MAD//punct//18
1.2.4 Nationell eHälsa;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//32 har//VB|PRS|AKT//parataxis//18 regelbundna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//34 kontakter//NN|UTR|PLU|IND|NOM//obj//32 med//PP//case//36 Socialdepartementet//NN|NEU|SIN|DEF|NOM//nmod//34 och//KN//cc//40 med//PP//case//40 de//DT|UTR/NEU|PLU|DEF//det//40 delar//NN|UTR|PLU|IND|NOM//conj//32 inom//PP//case//42 SKL//PM|NOM//nmod//40 som//HP|-|-|-//nsubj//45 är//VB|PRS|AKT//cop//45 aktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//40 i//PP//case//47 e-hälsoarbetet//NN|NEU|SIN|DEF|NOM//nmod//45 .//MAD//punct//18

1.2.5 Strategi för eSamhället;Kommuner//NN|UTR|PLU|IND|NOM//nsubj//6 ,//MID//punct//2 landsting//NN|NEU|PLU|IND|NOM//conj//0 och//KN//cc//4 regioner//NN|UTR|PLU|IND|NOM//conj//0 tillsammans//AB//advmod//0 står//VB|PRS|AKT//ROOT//6 för//PP//case//10 cirka//AB//advmod//9 70//RG|NOM//nummod//10 procent//NN|UTR|PLU|IND|NOM//obl//6 av//PP//case//12 medborgarkontakterna//NN|UTR|PLU|DEF|NOM//nmod//10 i//PP//case//15 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//15 sektor//NN|UTR|SIN|IND|NOM//nmod//12 och//KN//cc//17 åtta//RG|NOM//conj//12 av//PP//case//20 tio//RG|NOM//nummod//20 företagare//NN|UTR|PLU|IND|NOM//nmod//17 har//VB|PRS|AKT//conj//6 kontakter//NN|UTR|PLU|IND|NOM//obj//21 med//PP//case//24 kommunen//NN|UTR|SIN|DEF|NOM//obl//21 .//MAD//punct//6
1.2.5 Strategi för eSamhället;Utvecklingen//NN|UTR|SIN|DEF|NOM//nsubj//30 av//PP//case//28 e-samhället//NN|NEU|SIN|DEF|NOM//nmod//26 är//VB|PRS|AKT//cop//30 något//PN|NEU|SIN|IND|SUB/OBJ//parataxis//6 som//HP|-|-|-//nsubj//36 i//PP//case//35 allra//AB//advmod//34 högsta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//35 grad//NN|UTR|SIN|IND|NOM//obl//36 påverkar//VB|PRS|AKT//acl:relcl//30 och//KN//cc//38 påverkas//VB|PRS|SFO//conj//36 av//PP//case//41 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//41 sektor//NN|UTR|SIN|IND|NOM//obl//38 .//MAD//punct//30
1.2.5 Strategi för eSamhället;Genom//PP//case//1 e-förvaltning//NN|UTR|SIN|IND|NOM//obl//2 bidrar//VB|PRS|AKT//ROOT//2 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//4 sektor//NN|UTR|SIN|IND|NOM//obj//2 till//PP//case//6 e-samhället//NN|NEU|SIN|DEF|NOM//obl//2 .//MID//punct//2
1.2.5 Strategi för eSamhället;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//10 är//VB|PRS|AKT//cop//10 få//JJ|POS|UTR/NEU|PLU|IND|NOM//parataxis//2 kommuner//NN|UTR|PLU|IND|NOM//obj//10 ,//MID//punct//13 landsting//NN|NEU|PLU|IND|NOM//conj//11 och//KN//cc//15 regioner//NN|UTR|PLU|IND|NOM//conj//11 som//HP|-|-|-//nsubj//18 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//18 har//VB|PRS|AKT//acl:relcl//15 kompetens//NN|UTR|SIN|IND|NOM//obj//18 eller//KN//cc//21 resurser//NN|UTR|PLU|IND|NOM//conj//19 att//IE//mark//23 driva//VB|INF|AKT//advcl//18 den//DT|UTR|SIN|DEF//det//26 angelägna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//26 verksamhetsutveckling//NN|UTR|SIN|IND|NOM//obj//23 som//HP|-|-|-//obj//29 e-förvaltning//NN|UTR|SIN|IND|NOM//nsubj//29 innebär//VB|PRS|AKT//acl:relcl//26 och//KN//cc//31 skapa//VB|INF|AKT//conj//29 lösningar//NN|UTR|PLU|IND|NOM//obj//31 för//PP//case//34 e-tjänster//NN|UTR|PLU|IND|NOM//nmod//32 .//MID//punct//10
1.2.5 Strategi för eSamhället;Skillnaderna//NN|UTR|PLU|DEF|NOM//nsubj:pass//41 i//PP//case//39 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 förutsättningar//NN|UTR|PLU|IND|NOM//nmod//36 kan//VB|PRS|AKT//aux//41 överbryggas//VB|INF|SFO//parataxis//10 med//PP//case//44 gemensam//JJ|POS|UTR|SIN|IND|NOM//amod//44 kraftsamling//NN|UTR|SIN|IND|NOM//obl//41 och//KN//cc//48 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//48 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//48 samverkan//NN|UTR|SIN|IND|NOM//conj//44 .//MAD//punct//10
1.2.5 Strategi för eSamhället;I//PP//case//1 syfte//NN|NEU|SIN|IND|NOM//obl//3 att//IE//mark//3 stödja//VB|INF|AKT//advcl//11 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//5 sektors//NN|UTR|SIN|IND|GEN//nmod:poss//6 utveckling//NN|UTR|SIN|IND|NOM//obj//3 av//PP//case//8 e-förvaltning//NN|UTR|SIN|IND|NOM//nmod//6 har//VB|PRS|AKT//aux//11 SKL//PM|NOM//nsubj//11 tagit//VB|SUP|AKT//ROOT//11 fram//PL//compound:prt//11 ett//DT|NEU|SIN|IND//det//14 förslag//NN|NEU|SIN|IND|NOM//obj//11 till//PP//case//16 Strategi//NN|UTR|SIN|IND|NOM//nmod//14 för//PP//case//18 eSamhället//NN|NEU|SIN|DEF|NOM//obl//11 som//HP|-|-|-//nsubj:pass//20 förväntas//VB|PRS|SFO//acl:relcl//18 beslutas//VB|PRS|SFO//xcomp//20 under//PP//case//24 första//RO|NOM//amod//24 halvåret//NN|NEU|SIN|DEF|NOM//obl//21 2011//RG|NOM//nummod//24 .//MAD//punct//11
1.2.5 Strategi för eSamhället;Strategin//NN|UTR|SIN|DEF|NOM//nsubj//28 pekar//VB|PRS|AKT//conj//11 ut//PL//compound:prt//28 gemensamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 mål//NN|NEU|PLU|IND|NOM//obj//28 och//KN//cc//33 insatsområden//NN|NEU|PLU|IND|NOM//conj//31 för//PP//case//36 det//DT|NEU|SIN|DEF//det//36 arbete//NN|NEU|SIN|IND|NOM//nmod//33 som//HP|-|-|-//nsubj//38 behöver//VB|PRS|AKT//acl:relcl//36 göras//VB|INF|SFO//advcl//28 gemensamt//AB|POS//advmod//39 inom//PP//case//42 sektorn//NN|UTR|SIN|DEF|NOM//obl//39 oavsett//PP//case//44 verksamhetsområde//NN|NEU|SIN|IND|NOM//obl//39 .//MAD//punct//28
1.2.5 Strategi för eSamhället;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//8 kommer//VB|PRS|AKT//aux//8 att//IE//mark//8 i//PP//case//5 nära//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 samverkan//NN|UTR|SIN|IND|NOM//obl//8 med//PP//case//7 SKL//PM|NOM//nmod//5 verka//VB|INF|AKT//ROOT//8 för//PP//case//12 en//DT|UTR|SIN|IND//det//12 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//12 utveckling//NN|UTR|SIN|IND|NOM//obl//8 av//PP//case//14 e-tjänster//NN|UTR|PLU|IND|NOM//nmod//12 där//HA//advmod//17 målet//NN|NEU|SIN|DEF|NOM//nsubj//17 är//VB|PRS|AKT//cop//19 att//SN//mark//19 framtagna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//8 tjänster//NN|UTR|PLU|IND|NOM//nsubj//23 ska//VB|PRS|AKT//aux//23 vara//VB|INF|AKT//cop//23 behovsstyrda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//19 och//KN//cc//25 samverka//VB|INF|AKT//conj//23 oavsett//AB|POS//mark//31 var//VB|PRT|AKT//aux:pass//31 i//PP//case//29 förvaltningen//NN|UTR|SIN|DEF|NOM//nmod//30 tjänsterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//31 utvecklas//VB|PRS|SFO//advcl//25 .//MAD//punct//8

